الرواية,المؤلف,البلد,السنة,رابط,رابط آخر
الرجع البعيد,فؤاد التكرلي,العراق,1980,https://archive.org/details/1_20240611_20240611_1238/,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%B1%D8%AC%D8%B9_%D8%A7%D9%84%D8%A8%D8%B9%D9%8A%D8%AF_%D9%81%D8%A4%D8%A7%D8%AF_%D8%A7%D9%84%D8%AA%D9%83%D8%B1%D9%84%D9%8A.pdf
الشراع والعاصفة,حنا مينه,سوريا,1993,https://archive.org/details/book1_10884,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%B9%20%D9%88%20%D8%A7%D9%84%D8%B9%D8%A7%D8%B5%D9%81%D8%A9_%D8%AD%D9%86%D8%A7_%D9%85%D9%8A%D9%86%D8%A9.pdf
الزينى بركات,جمال الغيطاني,مصر,1974,https://archive.org/details/AAlexandrina-224852,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%B2%D9%8A%D9%86%D9%89_%D8%A8%D8%B1%D9%83%D8%A7%D8%AA_%D8%AC%D9%85%D8%A7%D9%84_%D8%BA%D9%8A%D8%B7%D8%A7%D9%86%D9%8A.pdf
ثلاثية 'سأهبك مدينة ثانية',احمد ابراهيم الفقيه,ليبيا,1991,"https://foulabook.com/storage/book/%D8%B3%D8%A3%D9%87%D8%A8%D9%83%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%A3%D8%AE%D8%B1%D9%89_94500_Foulabook.com_.pdf
https://www.books4arabs.com/BAA/BBA-02264.pdf
https://language.univeyes.net/academy/arabic00000/arabic017001/arabic17381.pdf","https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%B3%D8%A3%D9%87%D8%A8%D9%83%20%D9%85%D8%AF%D9%8A%D9%86%D8%A9%20%D8%A3%D8%AE%D8%B1%D9%89_%D8%A7%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%81%D9%82%D9%8A%D9%87.pdf
https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%87%D8%B0%D9%87_%D8%AA%D8%AE%D9%88%D9%85_%D9%85%D9%85%D9%84%D9%83%D8%AA%D9%8A_%D8%A7%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%81%D9%82%D9%8A%D9%87.pdf
https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%86%D9%81%D9%82_%D8%AA%D8%B6%D9%8A%D8%A6%D9%87_%D8%A7%D9%85%D8%B1%D8%A3%D8%A9_%D9%88%D8%A7%D8%AD%D8%AF%D8%A9_%D8%A7%D8%AD%D9%85%D8%AF_%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%A7%D9%84%D9%81%D9%82%D9%8A%D9%87.pdf"
الحى اللاتينى,سهيل ادريس,لبنان,1953,https://archive.org/details/AAlexandrina-086473,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AD%D9%89_%D8%A7%D9%84%D9%84%D8%A7%D8%AA%D9%8A%D9%86%D9%89_%D8%B3%D9%87%D9%8A%D9%84_%D8%A7%D8%AF%D8%B1%D9%8A%D8%B3.pdf
لا أحد ينام في الإسكندرية,إبراهيم عبد المجيد,مصر,1996,https://archive.org/details/1_20231209_20231209_0757,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%84%D8%A7_%D8%A3%D8%AD%D8%AF_%D9%8A%D9%86%D8%A7%D9%85_%D9%81%D9%8A_%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%85%D8%AC%D9%8A%D8%AF.pdf
الحب في المنفى,بهاء طاهر,مصر,1995,https://archive.org/details/1_20231129_202311/%D8%B4%D8%A7%D8%B4%D8%A9%201__%D8%A7%D9%84%D8%AD%D8%A8%20%D9%81%D9%8A%20%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89/,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AD%D8%A8_%D9%81%D9%8A_%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89_%D8%A8%D9%87%D8%A7%D8%A1_%D8%B7%D8%A7%D9%87%D8%B1.pdf
مدارات الشرق,نبيل سليمان,سوريا,1993,"https://archive.org/details/alabadiaschool_gmail_20190115_2202/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%20..%D8%A7%D9%84%D8%A3%D8%B4%D8%B1%D8%B9%D8%A9%20..%D9%86%D8%A8%D9%8A%D9%84%20%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86/
https://foulabook.com/ar/book/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B4%D8%B1%D9%82-2:-%D8%A8%D9%86%D8%A7%D8%AA-%D9%86%D8%B9%D8%B4-pdf","https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B4%D8%B1%D9%82_%D8%A7%D9%84%D8%A3%D8%B4%D8%B1%D8%B9%D8%A9_%D9%86%D8%A8%D9%8A%D9%84_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86.pdf
https://github.com/a-tabaza/arabic_novel/blob/main/books/%D9%85%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B4%D8%B1%D9%82_%D8%A8%D9%86%D8%A7%D8%AA_%D9%86%D8%B9%D8%B4_%D9%86%D8%A8%D9%8A%D9%84_%D8%B3%D9%84%D9%8A%D9%85%D8%A7%D9%86.pdf"
الوباء,هاني الراهب,سوريا,1983,https://foulabook.com/ar/book/%D9%83%D8%AA%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A1-pdf,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D9%88%D8%A8%D8%A7%D8%A1_%D9%87%D8%A7%D9%86%D9%8A_%D8%A7%D9%84%D8%B1%D8%A7%D9%87%D8%A8.pdf
الحرام,يوسف ادريس,مصر,1959,https://archive.org/details/Heliopolis1957_gmail_20190127_1329,https://github.com/a-tabaza/arabic_novel/blob/main/books/%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D9%85_%D9%8A%D9%88%D8%B3%D9%81_%D8%A7%D8%AF%D8%B1%D9%8A%D8%B3.pdf
